Java 8 found at /usr/lib/jvm/java-8-openjdk/jre/bin/java
BBC started
07:11:44.654 [main] INFO de.learnlib.util.Experiment - Starting round 1
07:11:44.661 [main] INFO de.learnlib.util.Experiment - Learning
07:11:57.865 [main] INFO de.learnlib.util.Experiment - Searching for counterexample
07:11:58.654 [Thread-0] DEBUG org.group_mmm.SimulinkGenerationalGeneticAlgorithm - new population is generated
07:11:59.294 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 30.187558662351975
07:11:59.823 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 45.931353002494106
07:12:00.315 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 25.158470946995223
07:12:01.025 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 20.5035625562695
07:12:01.561 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 47.6670652966732
07:12:01.988 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 58.292398843923024
07:12:04.280 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 31.84074471576713
07:12:05.005 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 43.697733980587444
07:12:05.407 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 38.445841898004005
07:12:05.805 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 40.01237136052427
07:12:06.247 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 32.158260569772864
07:12:06.680 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 61.44722079794212
07:12:07.095 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 45.87274640212635
07:12:07.496 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 63.61143843884903
07:12:07.897 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 36.89183369661306
07:12:08.317 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 36.23032395697754
