Java 8 found at /usr/lib/jvm/java-8-openjdk/jre/bin/java
BBC started
06:18:20.148 [main] INFO de.learnlib.util.Experiment - Starting round 1
06:18:20.151 [main] INFO de.learnlib.util.Experiment - Learning
06:18:33.862 [main] INFO de.learnlib.util.Experiment - Searching for counterexample
06:18:35.289 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 42.10584970089998
06:18:36.032 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 36.85246697066634
06:18:36.764 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 45.48514438709097
06:18:38.642 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 37.81705827961652
06:18:39.079 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 16.173101492080193
06:18:39.457 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 14.770240022281627
06:18:39.839 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 35.23572108595998
06:18:40.221 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 41.59341616233449
06:18:40.603 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 35.340125034160465
06:18:40.980 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 40.162015558776574
06:18:41.355 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 44.53381875217039
06:18:41.732 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 46.529868517578905
06:18:42.111 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 28.700435886741488
06:18:42.489 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 45.53470425230218
06:18:42.868 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 25.77106508061017
06:18:43.250 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 63.505794538032646
06:18:43.630 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 13.465040845794121
06:18:44.012 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 48.9573387315519
06:18:44.408 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 30.337309719756135
06:18:44.812 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 50.05021468623808
06:18:45.200 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 29.077697405386346
06:18:45.619 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 54.56034445207595
06:18:46.024 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 53.48149441166534
06:18:46.439 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 38.996806183208605
06:18:46.895 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 46.20003068688226
06:18:47.288 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 25.160467207135582
06:18:47.677 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 59.81496032385874
06:18:48.082 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 45.74840462248662
06:18:48.503 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 83.98238862632982
06:18:48.918 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 51.11407032684362
06:18:49.326 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 24.067178513515273
06:18:49.755 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 21.99684777484832
06:18:50.189 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 39.518575100775024
06:18:50.621 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 47.00371388362295
06:18:51.048 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 10.477493728652775
06:18:51.473 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 56.32543465172368
06:18:51.885 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 51.83173910252266
06:18:52.330 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 24.637724214634417
06:18:52.756 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 64.41430343851422
06:18:53.184 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 28.286520242352708
06:18:53.591 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 51.733988161376004
06:18:53.975 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 46.740394476092746
06:18:54.359 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 33.189317773899276
06:18:54.746 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 43.95630933507327
06:18:55.131 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 34.130205946636636
06:18:55.510 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 75.79571253769228
06:18:55.887 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 46.095974435350755
06:18:56.281 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 28.09960572286596
06:18:56.662 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 35.16493015728247
06:18:57.041 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 65.66796444372378
06:18:57.422 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 20.271808256822254
06:18:57.799 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 53.17988193360058
06:18:58.183 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 48.424008257247024
06:18:58.557 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 43.74947210177265
06:18:58.939 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 43.474738168207296
06:18:59.317 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 52.53286559250358
06:18:59.693 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 24.28025012994867
06:19:00.073 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 35.42325001285019
06:19:00.450 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 55.91012322523345
06:19:00.831 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 39.40403925950177
06:19:01.207 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 65.437570191115
06:19:01.586 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 33.68866297986406
06:19:01.966 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 52.85747990732338
06:19:02.340 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 58.150708765410926
06:19:02.715 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 51.28730123903988
06:19:03.092 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 31.669208514178806
06:19:03.493 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 53.81552086120895
06:19:03.928 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 44.86591188627354
06:19:04.332 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 30.533127149137428
06:19:04.778 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 24.074909061062925
06:19:05.180 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 38.09133609069178
06:19:05.649 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 48.40955778044602
06:19:06.055 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 44.34565396590209
06:19:06.465 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 57.010581336430945
06:19:06.861 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 32.01779326860144
06:19:07.243 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 41.96893138392683
06:19:07.632 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 18.228201723538078
06:19:08.054 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 44.3843837506694
06:19:08.463 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 47.77389104788044
06:19:08.897 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 29.329758131561775
06:19:09.330 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 23.569428514076023
06:19:09.752 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 49.82540938544136
06:19:10.178 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 8.682200444288824
06:19:10.599 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 30.67469771780587
06:19:11.033 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 44.64355727626203
06:19:11.462 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 55.418033250166275
06:19:11.888 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 58.4247041522634
06:19:12.341 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 46.00323334212521
06:19:12.765 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 38.601999783079435
06:19:13.204 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 58.29128239354859
06:19:13.584 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 41.76251241806712
06:19:13.970 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 42.10456304313418
06:19:14.353 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 41.88898248813628
06:19:14.736 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 50.00147719164356
06:19:15.120 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 42.121102957870775
06:19:15.505 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 27.80900227324686
06:19:15.886 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 22.10838309207729
06:19:16.268 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 38.132484506844975
06:19:16.647 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 34.00267960764417
06:19:17.026 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 43.21004182998951
06:19:17.398 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 84.11238621882823
06:19:17.776 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 79.75838498498956
06:19:18.158 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 44.742838548398566
06:19:18.533 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 44.56910218221094
06:19:18.910 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 51.127295757491
06:19:19.287 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 33.61526370364565
06:19:19.662 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 25.216616809830086
06:19:20.041 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 46.55732485882625
06:19:20.415 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 34.751588522625354
06:19:20.789 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 44.870432169148486
06:19:21.165 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 21.57627648609177
06:19:21.543 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 45.851717511847795
06:19:21.926 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 40.108196739326715
06:19:22.345 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 53.75277005151632
06:19:22.746 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 26.747256245987273
06:19:23.145 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 38.20044117858441
06:19:23.589 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 50.425734053866094
06:19:24.020 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 60.2689641877262
06:19:24.496 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 51.31967548100715
06:19:24.892 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 29.302524223956013
06:19:25.285 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 25.57191500818317
06:19:25.672 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 29.794652343636514
06:19:26.076 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 16.919195043743883
06:19:26.480 [Thread-0] INFO org.group_mmm.EQSearchProblem - CEX with Robustness: 53.7490724033906
