"system","property","mean total simulations","median total simulations","sdev total simulations","min total simulations","max total simulations","mean total time","sdev total time","min total time","max total time","mean simulations for equivalence testing","sdev simulations for equivalence testing","min simulations for equivalence testing","max simulations for equivalence testing","mean simulation time","sdev simulation time","min simulation time","max simulation time","num falsified"
"AT","AT1","896","896","0","896","896","106.458","5.53149","103","123","4","0","4","4","100.396","4.70757","97","114","10"
"AT","AT2","256","256","0","256","256","25.1516","4.88653","22","39","4","0","4","4","23.3904","3.92136","21","35","10"
"AT","AT6a","1002","1002","0","1002","1002","114.484","5.38221","112","130","0","0","0","0","107.035","4.70534","104","121","10"
"AT","AT6abc","1232","1232","0","1232","1232","132.166","5.06485","130","147","0","0","0","0","120.124","4.53625","118","133","10"
"AT","AT6b","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AT","AT6c","898","898","0","898","898","116.513","5.78525","112","133","0","0","0","0","109.392","4.83408","105","123","10"
"CC","CC1","396","396","0","396","396","98.6578","8.51765","95","124","4","0","4","4","94.954","8.20304","91","119","10"
"CC","CC2","76","76","0","76","76","12.5241","4.04497","10","24","0","0","0","0","11.6548","3.80958","10","23","10"
"CC","CC3","122","122","0","122","122","33.1131","4.33259","31","46","4","0","4","4","26.9296","4.07598","25","39","10"
"CC","CC4","1256.5","1198","142.474","1062","1446","781.994","127.198","639","980","475.5","42.5764","417","527","683.353","106.834","560","846","4"
"CC","CCx","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"SC","SCa","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"pacemaker","PMa","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
