"system","property","mean total simulations","median total simulations","sdev total simulations","min total simulations","max total simulations","mean total time","sdev total time","min total time","max total time","mean simulations for equivalence testing","sdev simulations for equivalence testing","min simulations for equivalence testing","max simulations for equivalence testing","mean simulation time","sdev simulation time","min simulation time","max simulation time","num falsified","mean simulation ratio"
"AT","AT1","448","448","0","448","448","89.0665","6.75509","84","109","4","0","4","4","80.3048","5.09576","76","95","10","90.1627"
"AT","AT2","128","128","0","128","128","24.1082","5.97331","18","41","4","0","4","4","21.4035","4.4508","16","33","10","88.7811"
"AT","AT6a","501","501","0","501","501","95.3146","8.43164","90","120","0","0","0","0","84.9368","6.40491","80","103","10","89.1121"
"AT","AT6abc","616","616","0","616","616","110.421","8.6781","103","128","0","0","0","0","98.0678","7.50099","92","112","10","88.8128"
"AT","AT6b","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","90.7162"
"AT","AT6c","449","449","0","449","449","89.17","7.26105","81","108","0","0","0","0","79.6701","5.5904","73","93","10","89.3463"
"CC","CC1","198","198","0","198","198","75.2249","9.96406","71","104","4","0","4","4","69.7483","9.37288","65","97","10","92.7196"
"CC","CC2","38","38","0","38","38","11.6213","8.33853","8","36","0","0","0","0","10.4784","7.82097","7","33","10","90.1657"
"CC","CC3","61","61","0","61","61","23.6581","8.22319","20","48","4","0","4","4","21.489","7.6552","18","44","10","90.8316"
"CC","CC4","474","474","0","474","474","425.498","30.0218","394","474","347","0","347","347","351.884","25.0136","327","394","10","82.6993"
"CC","CCx","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","71.8881"
"PM","PMa","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","89.2808"
"SC","SCa","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","78.9479"
